Machine readable	1acb751e-decc-405a-095a-4aa568f70b9a	e2b64f4a-3173-4f62-ef89-a9c9dd39694e	abfab98b-8018-4089-b600-63ff50eaef9d	868402c1-7656-4c80-410e-2ee7aaac320f	633598be-b90d-4822-db50-7d2b3506ffaf	757c2dae-9ec4-495f-3c97-5721a303d57a	b8dbe898-da6d-45fc-5932-06b052b148c2	933091ef-9a5f-4427-266a-3b6cc49f3d8e	008b513e-a177-4c33-9a8d-1ccc7af6488a	175110ee-6387-47a6-1a57-e73e729008b2	cb92e6c4-832a-49d3-2ea2-6ed59184898a	1b4b97a4-7d0b-4c13-0ca5-67602587bbf7	3a4ad494-80b2-45b2-7542-2b797e629d33	a6dac5f0-344f-431b-245a-5790783e4bff	91f55312-a619-438a-9dc9-ac11df5367e5	03adeac6-71b9-4151-1fff-8c5c22f7208b	83955fab-37ec-43dd-ba05-9a2be883151a	f104d132-daac-4bea-de08-2554f093b1e1	a10a9e54-a2a5-4d5a-e8c9-59e26c02b456	75bddbc3-ce14-4698-3a68-1c7cd02105f9	34e0272b-ac9e-44c8-907f-5c6a197c6918	addc8f1a-5a10-4916-a826-342a22cf947e	103fd6f1-00fb-4caa-0ff1-612d6e5a197b	167a9bf2-bf94-4b84-beae-503b7b9cccb0	9458471e-52ac-4f44-fdbf-5978e184ef7e	6de15a7f-26d7-423e-7d16-33121e65dd3e	b6bd16e5-7d43-42b5-6108-20f8001aec02	9ab06179-dccb-44bb-3a0c-c1c6943c97f1	02e39334-1975-4707-1ab0-c3bd631e104f	03fe4c37-129e-4dac-e052-1dcb1ee798c6	79a413a2-a734-44d4-d4a1-aa9f58b28c5c	95ab4414-2df3-4877-fecf-d68ca6f4a972	b8f19cfc-456b-4985-ffaf-c6e1e9687347	6f9eb33a-c517-4196-4c6d-21cfcb08b33e	c2cb5935-0c92-45d7-adb2-f8d6529de0a1	f9b6ddee-f39b-4a6e-418b-45fa16ab902d	74e0c82d-9cce-4000-9047-43d8f5c14671	6db6ccba-bff6-4b47-53dd-bbedf9e4eca2
BGE_00227_F08																																						
BGE_00227_F09																																						
BGE_00592_C05																																						
BGE_00227_F11																																						
BGE_00227_F12																																						
BGE_00592_C08																																						
BGE_00227_G02																																						
BGE_00592_C10																																						
BGE_00592_C11																																						
BGE_00592_C12																																						
BGE_00592_D01																																						
BGE_00592_D02																																						
BGE_00227_G08																																						
BGE_00227_G09																																						
BGE_00592_D05																																						
BGE_00227_G11																																						
BGE_00227_G12																																						
BGE_00592_D08																																						
BGE_00592_D09																																						
BGE_00592_D10																																						
BGE_00592_D11																																						
BGE_00592_D12																																						
BGE_00227_H06																																						
BGE_00592_E02																																						
BGE_00592_E03																																						
BGE_00457_B07																																						
BGE_00227_H10																																						
BGE_00592_E06																																						
BGE_00592_E07																																						
BGE_00457_B11																																						
BGE_00592_E09																																						
BGE_00592_E10																																						
BGE_00592_E12																																						
BGE_00592_F01																																						
BGE_00592_F02																																						
BGE_00592_F03																																						
BGE_00592_F04																																						
BGE_00592_F05																																						
BGE_00457_C10																																						
BGE_00457_C11																																						
BGE_00457_C12																																						
BGE_00592_F10																																						
BGE_00592_F12																																						
BGE_00592_G01																																						
BGE_00592_G02																																						
BGE_00592_G03																																						
BGE_00592_G05																																						
BGE_00457_D09																																						
BGE_00592_G07																																						
BGE_00592_G08																																						
BGE_00457_D12																																						
BGE_00592_H01																																						
BGE_00457_E05																																						
BGE_00592_H03																																						
BGE_00592_H05																																						
BGE_00457_E09																																						
BGE_00592_H07																																						
BGE_00592_H08																																						
BGE_00457_E12																																						
BGE_00457_F07																																						
BGE_00457_F09																																						
BGE_00457_G09																																						
BGE_00457_G10																																						
BGE_00457_G12																																						
BGE_00452_A08																																						
BGE_00452_B03																																						
BGE_00452_B10																																						
BGE_00452_D03																																						
BGE_00452_E08																																						
BGE_00804_H07																																						
BGE_00807_A09																																						
BGE_00807_A12																																						
BGE_00807_B01																																						
BGE_00807_B02																																						
BGE_00807_B07																																						
BGE_00807_C03																																						
BGE_00807_C06																																						
BGE_00807_C08																																						
BGE_00807_D01																																						
RM3_512	BGE_00556		D01	https://scienze.uniroma3.it/			https://orcid.org/0000-0003-2776-9154										UNIFI						No permits needed											Ethanol				
BGE_00807_D06																																						
BGE_00807_D11																																						
BGE_00398_E12																																						
BGE_00807_E04																																						
BGE_00807_E06																																						
BGE_00807_E07																																						
BGE_00807_F04																																						
BGE_00807_F05																																						
BGE_00807_F08																																						
BGE_00807_G10																																						
BGE_00807_G12																																						
BGE_00807_H03																																						
BGE_00807_H11																																						
BGE_00806_A01																																						
BGE_00806_A02																																						
BGE_00806_A03																																						
BGE_00806_A04																																						
BGE_00806_A05																																						
BGE_00806_A07																																						
BGE_00806_A08																																						
BGE_00806_A09																																						
BGE_00806_A10																																						
BGE_00806_A11																																						
BGE_00806_A12																																						
BGE_00806_B01																																						
BGE_00806_B02																																						
BGE_00806_B03																																						
BGE_00806_B04																																						
BGE_00806_B05																																						
BGE_00806_B06																																						
BGE_00806_B08																																						
BGE_00806_B09																																						
BGE_00806_B10																																						
BGE_00806_B11																																						
BGE_00806_B12																																						
BGE_00806_C01																																						
BGE_00806_C02																																						
BGE_00806_C03																																						
BGE_00806_C04																																						
BGE_00806_C05																																						
BGE_00806_C06																																						
BGE_00806_C07																																						
BGE_00806_C08																																						
BGE_00806_C09																																						
BGE_00806_C10																																						
BGE_00806_C12																																						
BGE_00806_D01																																						
BGE_00806_D02																																						
BGE_00806_D03																																						
BGE_00806_D04																																						
BGE_00806_D05																																						
BGE_00806_D06																																						
BGE_00806_D08																																						
BGE_00806_D09																																						
BGE_00806_D11																																						
BGE_00806_E01																																						
BGE_00806_E02																																						
BGE_00806_E03																																						
BGE_00806_E04																																						
BGE_00806_E05																																						
BGE_00806_E06																																						
BGE_00806_E07																																						
BGE_00806_E08																																						
BGE_00806_E09																																						
BGE_00806_E10																																						
BGE_00806_E11																																						
BGE_00806_E12																																						
BGE_00806_F01																																						
BGE_00806_F02																																						
BGE_00806_F03																																						
BGE_00806_F04																																						
BGE_00806_F05																																						
BGE_00806_F06																																						
BGE_00806_F07																																						
BGE_00806_F08																																						
BGE_00806_F09																																						
BGE_00806_F10																																						
BGE_00806_F11																																						
BGE_00806_F12																																						
BGE_00806_G01																																						
BGE_00806_G02																																						
BGE_00806_G03																																						
BGE_00806_G04																																						
BGE_00806_H07																																						
BGE_00809_A01																																						
BGE_00809_A02																																						
BGE_00809_A04																																						
BGE_00809_A06																																						
BGE_00809_A08																																						
BGE_00809_A09																																						
BGE_00809_A11																																						
BGE_00809_A12																																						
BGE_00809_C01																																						
BGE_00580_E12																																						
BGE_00809_C09																																						
BGE_00809_C11																																						
BGE_00809_D02																																						
BGE_00445_D12																																						
BGE_00809_E12																																						
BGE_00809_F09																																						
BGE_00809_H03																																						
RM3_515	BGE_00556		D04	https://scienze.uniroma3.it/			https://orcid.org/0000-0003-2776-9154										UNIFI						Yes											Ethanol				
BGE_00808_A04																																						
BGE_00808_A05																																						
BGE_00808_A06																																						
BGE_00808_A08																																						
BGE_00808_A09																																						
BGE_00808_A11																																						
BGE_00808_A12																																						
BGE_00808_B01																																						
BGE_00808_B02																																						
BGE_00808_B07																																						
BGE_00808_B09																																						
BGE_00808_B10																																						
BGE_00808_B11																																						
BGE_00808_C01																																						
BGE_00808_C05																																						
BGE_00808_C06																																						
BGE_00808_D04																																						
BGE_00808_D06																																						
BGE_00808_D11																																						
BGE_00808_E07																																						
BGE_00808_E09																																						
BGE_00808_E10																																						
BGE_00808_E11																																						
BGE_00808_E12																																						
BGE_00808_F01																																						
BGE_00808_F05																																						
BGE_00808_F06																																						
BGE_00808_F07																																						
BGE_00808_F08																																						
BGE_00808_F09																																						
BGE_00808_F11																																						
BGE_00808_F12																																						
BGE_00808_G02																																						
BGE_00808_G04																																						
BGE_00808_G06																																						
BGE_00808_G07																																						
BGE_00580_F05																																						
BGE_00808_G11																																						
BGE_00808_H01																																						
BGE_00808_H02																																						
BGE_00808_H04																																						
BGE_00808_H06																																						
BGE_00808_H07																																						
BGE_00808_H08																																						
BGE_00808_H09																																						
BGE_00461_A01																																						
BGE_00461_A02																																						
BGE_00461_A03																																						
BGE_00461_A06																																						
BGE_00461_A08																																						
BGE_00461_A09																																						
BGE_00461_A10																																						
BGE_00461_B03																																						
BGE_00461_B04																																						
BGE_00461_B05																																						
BGE_00461_B06																																						
BGE_00461_B08																																						
BGE_00461_B09																																						
BGE_00461_B10																																						
BGE_00461_B11																																						
BGE_00461_B12																																						
BGE_00461_C04																																						
BGE_00461_C08																																						
BGE_00461_C10																																						
BGE_00461_C11																																						
BGE_00461_C12																																						
BGE_00461_D01																																						
BGE_00461_D02																																						
BGE_00461_D03																																						
BGE_00461_D05																																						
BGE_00461_D07																																						
BGE_00461_D09																																						
BGE_00461_D12																																						
BGE_00461_E03																																						
BGE_00461_E04																																						
BGE_00461_E05																																						
BGE_00461_E10																																						
BGE_00461_E11																																						
BGE_00461_F01																																						
BGE_00461_F02																																						
BGE_00461_F03																																						
BGE_00461_F04																																						
BGE_00461_F06																																						
BGE_00461_F08																																						
BGE_00461_F10																																						
BGE_00461_F11																																						
BGE_00461_F12																																						
BGE_00461_G01																																						
BGE_00461_G03																																						
BGE_00461_G04																																						
BGE_00461_G06																																						
BGE_00461_G07																																						
BGE_00461_G08																																						
BGE_00461_G11																																						
BGE_00145_D04																																						
BGE_00461_H02																																						
BGE_00461_H03																																						
BGE_00461_H05																																						
BGE_00642_B02	BGE_00642		B02	https://ror.org/039zvsn29	3.60		https://orcid.org/0000-0002-4661-8952	17-May-24		05-Jun-22													No permits needed											Ethanol				
BGE_00461_H08																																						
BGE_00461_H09																																						
BGE_00461_H10																																						
BGE_00460_A02																																						
BGE_00460_A03																																						
BGE_00460_A04																																						
BGE_00460_A05																																						
BGE_00460_A09																																						
BGE_00460_A12																																						
BGE_00460_B01																																						
BGE_00460_B02																																						
BGE_00460_B03																																						
BGE_00642_B06	BGE_00642		B06	https://ror.org/039zvsn29	5.38		https://orcid.org/0000-0002-4661-8952	9-Sep-24		19-Sep-24													No permits needed											Ethanol				
BGE_00460_C01																																						
BGE_00460_C03																																						
BGE_00460_C04																																						
BGE_00460_C07																																						
BGE_00642_B08	BGE_00642		B08	https://ror.org/039zvsn29	5.36		https://orcid.org/0000-0002-4661-8952	3-Oct-24		04-Jun-24													No permits needed											Ethanol				
BGE_00460_C09																																						
BGE_00460_C12																																						
BGE_00460_D01																																						
BGE_00460_D02																																						
BGE_00460_D03																																						
BGE_00460_D04																																						
BGE_00460_D05																																						
BGE_00460_D06																																						
BGE_00460_D07																																						
BGE_00145_E01																																						
BGE_00460_E02																																						
BGE_00460_E03																																						
BGE_00460_E04																																						
BGE_00460_E05																																						
BGE_00460_E06																																						
BGE_00434_A01	BGE_00434		A01	https://www.bio.unifi.it/				2024-08-15															Yes											Dry				
BGE_00460_E08																																						
BGE_00434_A02	BGE_00434		A02	https://www.bio.unifi.it/				2024-08-15															Yes											Dry				
BGE_00460_E10																																						
BGE_00434_A04	BGE_00434		A04	https://www.bio.unifi.it/				2024-08-15															Yes											Dry				
BGE_00460_F03																																						
BGE_00460_F04																																						
BGE_00460_F05																																						
BGE_00434_A06	BGE_00434		A06	https://www.bio.unifi.it/				2024-08-15															Yes											Dry				
BGE_00434_A07	BGE_00434		A07	https://www.bio.unifi.it/				2024-08-15															Yes											Dry				
BGE_00434_A08	BGE_00434		A08	https://www.bio.unifi.it/				2024-08-15															Yes											Dry				
BGE_00460_F11																																						
BGE_00434_A09	BGE_00434		A09	https://www.bio.unifi.it/				2024-08-15															Yes											Dry				
BGE_00460_G01																																						
BGE_00460_G02																																						
BGE_00434_A11	BGE_00434		A11	https://www.bio.unifi.it/				2024-08-15															Yes											Dry				
BGE_00460_G05																																						
BGE_00434_A12	BGE_00434		A12	https://www.bio.unifi.it/				2024-08-15															Yes											Dry				
BGE_00434_B01	BGE_00434		B01	https://www.bio.unifi.it/				2024-08-15															Yes											Dry				
BGE_00434_B02	BGE_00434		B02	https://www.bio.unifi.it/				2024-08-15															Yes											Dry				
BGE_00460_H01																																						
BGE_00434_B04	BGE_00434		B04	https://www.bio.unifi.it/				2024-08-15															Yes											Dry				
BGE_00460_H04																																						
BGE_00460_H06																																						
BGE_00434_B06	BGE_00434		B06	https://www.bio.unifi.it/				2024-08-15															Yes											Dry				
BGE_00434_B07	BGE_00434		B07	https://www.bio.unifi.it/				2024-08-15															Yes											Dry				
BGE_00462_A02																																						
BGE_00462_A03																																						
BGE_00462_A04																																						
BGE_00462_A05																																						
BGE_00434_B10	BGE_00434		B10	https://www.bio.unifi.it/				2024-07-08															Yes											Dry				
BGE_00462_A07																																						
BGE_00462_A08																																						
BGE_00462_A10																																						
BGE_00462_B01																																						
BGE_00462_B02																																						
BGE_00434_C02	BGE_00434		C02	https://www.bio.unifi.it/				2024-07-08															Yes											Dry				
BGE_00434_C03	BGE_00434		C03	https://www.bio.unifi.it/				2024-07-08															Yes											Dry				
BGE_00462_B07																																						
BGE_00462_B09																																						
BGE_00462_B11																																						
BGE_00462_B12																																						
BGE_00434_C07	BGE_00434		C07	https://www.bio.unifi.it/				2024-07-31															Yes											Dry				
BGE_00642_C11	BGE_00642		C11	https://ror.org/039zvsn29	5.46		https://orcid.org/0000-0002-4661-8952	20-May-22		06-Sep-24													No permits needed											Ethanol				
BGE_00434_C08	BGE_00434		C08	https://www.bio.unifi.it/				2024-06-22															Yes											Dry				
BGE_00462_C05																																						
BGE_00434_C09	BGE_00434		C09					2024-09-01															Yes											Dry				
BGE_00462_C09																																						
BGE_00434_C11	BGE_00434		C11					2024-09-01															Yes											Dry				
BGE_00434_C12	BGE_00434		C12					2024-09-01															Yes											Dry				
BGE_00434_D02	BGE_00434		D02					2024-09-01															Yes											Dry				
BGE_00462_D06																																						
BGE_00462_D07																																						
BGE_00434_D03	BGE_00434		D03					2024-09-01															Yes											Dry				
BGE_00462_D10																																						
BGE_00462_D11																																						
BGE_00462_E01																																						
BGE_00434_D06	BGE_00434		D06					2024-09-01															Yes											Dry				
BGE_00462_E03																																						
BGE_00462_E04																																						
BGE_00462_E05																																						
BGE_00462_E07																																						
BGE_00462_E09																																						
BGE_00462_E10																																						
BGE_00434_D11	BGE_00434		D11					2024-09-01															Yes											Dry				
BGE_00462_F02																																						
BGE_00462_F03																																						
BGE_00434_D12	BGE_00434		D12					2024-09-01															Yes											Dry				
BGE_00462_F05																																						
BGE_00434_E01	BGE_00434		E01					2024-09-01															Yes											Dry				
BGE_00462_F07																																						
BGE_00462_F09																																						
BGE_00462_F10																																						
BGE_00434_E04	BGE_00434		E04					2024-09-01															Yes											Dry				
BGE_00434_E06	BGE_00434		E06					2024-09-01															Yes											Dry				
BGE_00462_G06																																						
BGE_00462_G07																																						
BGE_00462_G09																																						
BGE_00462_G10																																						
BGE_00434_E09	BGE_00434		E09					2024-09-01															Yes											Dry				
BGE_00462_H01																																						
BGE_00434_E10	BGE_00434		E10					2024-09-01															Yes											Dry				
BGE_00462_H04																																						
BGE_00434_E12	BGE_00434		E12					2024-09-01															Yes											Dry				
BGE_00462_H07																																						
BGE_00462_H08																																						
BGE_00462_H09																																						
BGE_00462_H11																																						
BGE_00434_F03	BGE_00434		F03					2024-09-01															Yes											Dry				
BGE_00434_F05	BGE_00434		F05					2024-09-01															Yes											Dry				
BGE_00459_A07																																						
BGE_00434_F06	BGE_00434		F06					2024-09-01															Yes											Dry				
BGE_00459_A09																																						
BGE_00434_F07	BGE_00434		F07					2024-09-01															Yes											Dry				
BGE_00434_F08	BGE_00434		F08	https://www.bio.unifi.it/				2024-08-23															Yes											Dry				
BGE_00434_F09	BGE_00434		F09	https://www.bio.unifi.it/				2024-08-23															Yes											Dry				
BGE_00434_F10	BGE_00434		F10	https://www.bio.unifi.it/				2024-08-23															Yes											Dry				
BGE_00459_B07																																						
BGE_00434_F12	BGE_00434		F12	https://www.bio.unifi.it/				2024-08-23															Yes											Dry				
BGE_00459_C01																																						
BGE_00459_C02																																						
BGE_00459_C03																																						
BGE_00434_G03	BGE_00434		G03					2024-09-01															Yes											Dry				
BGE_00459_C05																																						
BGE_00434_G04	BGE_00434		G04					2024-09-01															Yes											Dry				
BGE_00434_G05	BGE_00434		G05					2024-09-01															Yes											Dry				
BGE_00434_G06	BGE_00434		G06					2024-09-01															Yes											Dry				
BGE_00434_G07	BGE_00434		G07					2024-09-01															Yes											Dry				
BGE_00459_D01																																						
BGE_00434_G08	BGE_00434		G08					2024-09-01															Yes											Dry				
BGE_00434_G09	BGE_00434		G09					2024-09-01															Yes											Dry				
BGE_00459_D07																																						
BGE_00459_E01																																						
BGE_00459_E02																																						
BGE_00434_H02	BGE_00434		H02					2024-09-01															Yes											Dry				
BGE_00434_H03	BGE_00434		H03					2024-09-01															Yes											Dry				
BGE_00459_E07																																						
BGE_00434_H05	BGE_00434		H05					2024-09-01															Yes											Dry				
BGE_00459_E11																																						
BGE_00459_F05																																						
BGE_00434_H09	BGE_00434		H09					2024-09-01															Yes											Dry				
BGE_00459_F10																																						
BGE_00434_H11	BGE_00434		H11					2024-09-01															Yes											Dry				
BGE_00459_G07																																						
BGE_00459_G09																																						
BGE_00459_G10																																						
BGE_00459_H01																																						
BGE_00459_H11																																						
BGE_00458_A01																																						
BGE_00458_A02																																						
BGE_00597_A01																																						
BGE_00458_A04																																						
BGE_00597_A03																																						
BGE_00597_A04																																						
BGE_00597_A05																																						
BGE_00597_A06																																						
BGE_00458_A09																																						
BGE_00597_A08																																						
BGE_00597_A09																																						
BGE_00597_A10																																						
BGE_00597_A11																																						
BGE_00458_B02																																						
BGE_00458_B03																																						
BGE_00458_B04																																						
BGE_00597_B03																																						
BGE_00597_B04																																						
BGE_00597_B05																																						
BGE_00458_B08																																						
BGE_00458_B09																																						
BGE_00597_B08																																						
BGE_00597_B09																																						
BGE_00597_B10																																						
BGE_00597_B11																																						
BGE_00458_C02																																						
BGE_00597_C01																																						
BGE_00597_C02																																						
BGE_00597_C03																																						
BGE_00597_C04																																						
BGE_00597_C05																																						
BGE_00597_C06																																						
BGE_00597_C07																																						
BGE_00597_C08																																						
BGE_00597_C09																																						
BGE_00597_C10																																						
BGE_00458_D01																																						
BGE_00458_D02																																						
BGE_00458_D03																																						
BGE_00458_D04																																						
BGE_00381_A01																																						
BGE_00458_D06																																						
BGE_00597_D06																																						
BGE_00458_D09																																						
BGE_00597_D08																																						
BGE_00597_D09																																						
BGE_00597_D10																																						
BGE_00597_D11																																						
BGE_00597_E02																																						
BGE_00597_E03																																						
BGE_00597_E04																																						
BGE_00597_E08																																						
BGE_00597_E10																																						
BGE_00597_E11																																						
BGE_00597_F02																																						
BGE_00597_F03																																						
BGE_00597_F04																																						
BGE_00597_F05																																						
BGE_00597_F06																																						
BGE_00597_F07																																						
BGE_00597_F08																																						
BGE_00597_F09																																						
BGE_00597_F10																																						
BGE_00597_F11																																						
BGE_00597_G02																																						
BGE_00597_G03																																						
BGE_00597_G05																																						
BGE_00597_G06																																						
BGE_00597_G08																																						
BGE_00597_G09																																						
BGE_00597_G10																																						
BGE_00597_G11																																						
BGE_00597_H01																																						
BGE_00597_H02																																						
BGE_00597_H03																																						
BGE_00597_H04																																						
BGE_00597_H05																																						
BGE_00597_H06																																						
BGE_00597_H07																																						
BGE_00597_H08																																						
BGE_00597_H09																																						
BGE_00597_H10																																						
BGE_00597_H11																																						
BGE_00642_G07	BGE_00642		G07	https://ror.org/039zvsn29	8.80		https://orcid.org/0000-0002-4661-8968	10-Mar-24		22-Oct-24													Yes											Ethanol				
BGE_00810_A07																																						
BGE_00810_A08																																						
BGE_00810_B03																																						
BGE_00810_B05																																						
BGE_00390_A01																																						
BGE_00390_A02																																						
BGE_00390_A03																																						
BGE_00390_A04																																						
BGE_00390_A05																																						
BGE_00390_A06																																						
BGE_00390_A07																																						
BGE_00390_A08																																						
BGE_00390_A09																																						
BGE_00390_A11																																						
BGE_00390_A12																																						
BGE_00390_B01																																						
BGE_00390_B02																																						
BGE_00390_B03																																						
BGE_00390_B04																																						
BGE_00390_B05																																						
BGE_00390_B06																																						
BGE_00390_B07																																						
BGE_00390_B08																																						
BGE_00390_B09																																						
BGE_00390_B10																																						
BGE_00390_B11																																						
BGE_00390_B12																																						
BGE_00395_A01																																						
BGE_00395_A02																																						
BGE_00390_C03																																						
BGE_00390_C04																																						
BGE_00390_C05																																						
BGE_00390_C06																																						
BGE_00395_A05																																						
BGE_00390_C08																																						
BGE_00395_A06																																						
BGE_00390_C10																																						
BGE_00390_C11																																						
BGE_00390_C12																																						
BGE_00390_D01																																						
BGE_00390_D02																																						
BGE_00390_D03																																						
BGE_00390_D04																																						
BGE_00395_A11																																						
BGE_00390_D06																																						
BGE_00390_D07																																						
BGE_00395_B01																																						
BGE_00395_B02																																						
BGE_00390_D11																																						
BGE_00395_B03																																						
BGE_00395_B04																																						
BGE_00390_E02																																						
BGE_00395_B05																																						
BGE_00390_E05																																						
BGE_00395_B07																																						
BGE_00390_E07																																						
BGE_00395_B08																																						
BGE_00390_E09																																						
BGE_00395_B09																																						
BGE_00395_B10																																						
BGE_00642_H07	BGE_00642		H07	https://ror.org/039zvsn29	9.20		https://orcid.org/0000-0002-4661-8980	10-Nov-24		26-Oct-24													No permits needed											Ethanol				
BGE_00395_B11																																						
BGE_00390_F02																																						
BGE_00395_B12																																						
BGE_00390_F04																																						
BGE_00390_F05																																						
BGE_00395_C02																																						
BGE_00390_F07																																						
BGE_00390_F08																																						
BGE_00390_F09																																						
BGE_00395_C04																																						
BGE_00390_F11																																						
BGE_00642_H09	BGE_00642		H09	https://ror.org/039zvsn29	9.11		https://orcid.org/0000-0002-4661-8982	15-May-24		22-Apr-24													Yes											Ethanol				
BGE_00395_C06																																						
BGE_00390_G02																																						
BGE_00395_C07																																						
BGE_00395_C08																																						
BGE_00390_G05																																						
BGE_00390_G06																																						
BGE_00395_C10																																						
BGE_00395_C11																																						
BGE_00395_C12																																						
BGE_00390_G11																																						
BGE_00395_D01																																						
BGE_00395_D02																																						
BGE_00395_D03																																						
BGE_00390_H04																																						
BGE_00390_H05																																						
BGE_00390_H06																																						
BGE_00395_D05																																						
BGE_00390_H08																																						
BGE_00390_H09																																						
BGE_00395_D07																																						
BGE_00390_H11																																						
BGE_00395_D08																																						
BGE_00804_A02																																						
BGE_00804_A03																																						
BGE_00395_D10																																						
BGE_00395_D11																																						
BGE_00804_A06																																						
BGE_00395_D12																																						
BGE_00804_A08																																						
BGE_00804_A09																																						
BGE_00804_A10																																						
BGE_00804_A11																																						
BGE_00804_A12																																						
BGE_00395_E04																																						
BGE_00804_B02																																						
BGE_00804_B03																																						
BGE_00804_B04																																						
BGE_00395_E06																																						
BGE_00395_E07																																						
BGE_00395_E08																																						
BGE_00804_B10																																						
BGE_00395_E10																																						
BGE_00804_B12																																						
BGE_00804_C01																																						
BGE_00395_E12																																						
BGE_00804_C04																																						
BGE_00804_C05																																						
BGE_00804_C06																																						
BGE_00804_C07																																						
BGE_00804_C09																																						
BGE_00804_C10																																						
BGE_00804_C11																																						
BGE_00395_F06																																						
BGE_00804_D01																																						
BGE_00804_D02																																						
BGE_00804_D03																																						
BGE_00804_D04																																						
BGE_00804_D05																																						
BGE_00395_F10																																						
BGE_00804_D07																																						
BGE_00395_F11																																						
BGE_00804_D09																																						
BGE_00395_F12																																						
BGE_00395_G01																																						
BGE_00804_D12																																						
BGE_00804_E01																																						
BGE_00804_E02																																						
BGE_00804_E03																																						
BGE_00804_E05																																						
BGE_00804_E07																																						
BGE_00395_G06																																						
BGE_00804_E09																																						
BGE_00395_G07																																						
BGE_00804_E11																																						
BGE_00804_E12																																						
BGE_00804_F01																																						
BGE_00804_F02																																						
BGE_00804_F03																																						
BGE_00804_F04																																						
BGE_00395_G11																																						
BGE_00804_F06																																						
BGE_00646_B01	BGE_00646		B01	https://ror.org/03eywck07			https://orcid.org/0000-0002-0421-0182	12-Apr-24		12-Apr-24													No permits needed											Ethanol				
BGE_00804_F08																																						
BGE_00804_F09																																						
BGE_00804_F10																																						
BGE_00804_F11																																						
BGE_00804_F12																																						
BGE_00804_G01																																						
BGE_00395_H05																																						
BGE_00395_H06																																						
BGE_00804_G05																																						
BGE_00804_G06																																						
BGE_00804_G07																																						
BGE_00804_G08																																						
BGE_00804_G09																																						
BGE_00804_G10																																						
BGE_00804_G11																																						
BGE_00804_G12																																						
BGE_00381_D07																																						
BGE_00394_A01																																						
BGE_00804_H03																																						
BGE_00804_H04																																						
BGE_00394_A03																																						
BGE_00804_H06																																						
RM3_96	BGE_00552		A01	https://scienze.uniroma3.it/			ideally ORCID, e.g.: https://orcid.org/0000-0002-1825-0097										UNIFI						Yes											Ethanol				
BGE_00394_A05																																						
BGE_00804_H10																																						
BGE_00394_A06																																						
BGE_00463_A01																																						
BGE_00381_D09																																						
BGE_00463_A03																																						
BGE_00463_A04																																						
BGE_00463_A05																																						
BGE_00463_A06																																						
RM3_106	BGE_00552		A11	https://scienze.uniroma3.it/			https://orcid.org/0000-0003-2498-8844										UNIFI						Yes											Ethanol				
RM3_107	BGE_00552		A12	https://scienze.uniroma3.it/			https://orcid.org/0000-0003-2498-8845										UNIFI						Yes											Ethanol				
BGE_00463_A09																																						
RM3_109	BGE_00552		B02	https://scienze.uniroma3.it/			https://orcid.org/0000-0003-2498-8847										UNIFI						Yes											Ethanol				
RM3_110	BGE_00552		B03	https://scienze.uniroma3.it/			https://orcid.org/0000-0003-2498-8848										UNIFI						Yes											Ethanol				
RM3_111	BGE_00552		B04	https://scienze.uniroma3.it/			https://orcid.org/0000-0003-2498-8849										UNIFI						Yes											Ethanol				
RM3_112	BGE_00552		B05	https://scienze.uniroma3.it/			https://orcid.org/0000-0003-2498-8850										UNIFI						Yes											Ethanol				
RM3_113	BGE_00552		B06	https://scienze.uniroma3.it/			https://orcid.org/0000-0003-2498-8851										UNIFI						Yes											Ethanol				
RM3_114	BGE_00552		B07	https://scienze.uniroma3.it/			https://orcid.org/0000-0003-2498-8852										UNIFI						Yes											Ethanol				
BGE_00463_B04																																						
RM3_116	BGE_00552		B09	https://scienze.uniroma3.it/			https://orcid.org/0000-0003-2498-8854										UNIFI						Yes											Ethanol				
BGE_00394_B05																																						
RM3_118	BGE_00552		B11	https://scienze.uniroma3.it/			https://orcid.org/0000-0003-2498-8856										UNIFI						Yes											Ethanol				
BGE_00394_B06																																						
RM3_120	BGE_00552		C01	https://scienze.uniroma3.it/			https://orcid.org/0000-0003-2498-8858										UNIFI						Yes											Ethanol				
BGE_00394_B07																																						
BGE_00394_B08																																						
RM3_123	BGE_00552		C04	https://scienze.uniroma3.it/			https://orcid.org/0000-0003-2498-8861										UNIFI						Yes											Ethanol				
BGE_00394_B09																																						
BGE_00463_C02																																						
RM3_126	BGE_00552		C07	https://scienze.uniroma3.it/			https://orcid.org/0000-0003-2498-8864										UNIFI						Yes											Ethanol				
BGE_00463_C04																																						
RM3_128	BGE_00552		C09	https://scienze.uniroma3.it/			https://orcid.org/0000-0003-2498-8866										UNIFI						Yes											Ethanol				
BGE_00394_B12																																						
BGE_00463_C07																																						
BGE_00394_C01																																						
RM3_132	BGE_00552		D01	https://scienze.uniroma3.it/			https://orcid.org/0000-0003-2498-8870										UNIFI						Yes											Ethanol				
BGE_00394_C02																																						
RM3_134	BGE_00552		D03	https://scienze.uniroma3.it/			https://orcid.org/0000-0003-2498-8872										UNIFI						Yes											Ethanol				
BGE_00463_C12																																						
BGE_00394_C04																																						
BGE_00394_C05																																						
RM3_138	BGE_00552		D07	https://scienze.uniroma3.it/			https://orcid.org/0000-0003-2498-8876										UNIFI						Yes											Ethanol				
BGE_00394_C06																																						
BGE_00463_D05																																						
